Material,Dose,Energy,Angle of rotation(Rounded),OUTPUT 
1,13.67159769,23,23.5,0.732598
2,13.1710094,26,19,0.362032
1,13.69771618,99,8.5,1.76102
2,9.940931634,103,1.7,0.188519
2,10.92828066,56,25,0.213708
1,9.736096423,34,4.5,0.150455
1,13.13426182,30,25.7,0.661275
2,9.824680597,10,17.7,0.0611
2,9.558007571,18,27.3,0.06571
1,9.056888867,42,21.6,0.110885
1,11.68157638,99,22.6,0.727784
2,12.38526357,44,20.8,0.339331
2,11.67169639,66,2.8,0.332284
1,9.179141149,102,4.9,0.212902
1,13.46299605,20,22.1,0.63523
1,10.1997577,59,2,0.259978
2,13.43123959,21,1.5,0.367741
2,9.010354505,13,21.6,0.04528
2,10.91516581,41,28.3,0.173917
1,12.48280043,21,16.3,0.421979
2,10.29334523,27,0.8,0.107515
2,13.66981394,105,31.1,1.03441
2,12.75787797,30,7.2,0.32646
1,11.06864252,120,31.8,0.613127
1,9.009317873,92,28.7,0.174377
1,13.34576993,65,11.3,1.13989
1,9.209283605,8,0.5,0.067675
1,10.59778504,22,2.8,0.185238
2,11.27017517,12,4.9,0.119043
1,9.062936047,99,5.6,0.191142
1,10.31494917,11,5,0.128254
2,12.58074558,115,8,0.659357
1,11.7657999,109,3.9,0.792798
1,11.2992935,47,12.1,0.379063
2,10.33648292,100,6.3,0.2263
2,9.423266585,26,9.4,0.0722854
1,11.62726208,106,17.5,0.735818
2,13.98783794,96,4.2,1.15282
1,10.68574175,67,12.9,0.356185
2,12.57011451,71,1,0.523742
1,11.33890282,37,5.4,0.336668
2,11.54602269,104,8.5,0.400254
1,13.45260568,30,12.2,0.760283
1,12.3640251,124,4.4,1.09
2,9.768162038,113,16.1,0.179162
1,11.97167566,52,15.9,0.541926
1,11.84274533,124,1.2,0.872255
2,12.24433552,71,10,0.45316
1,13.14261444,62,3.3,1.01068
2,13.75388285,20,35.9,0.415627
2,11.85126389,85,15.3,0.418442
2,9.27548016,68,19.8,0.113365
2,11.01851829,51,8.8,0.208438
2,12.6369084,73,30.9,0.551419
1,9.804893232,5,18,0.08854
1,9.929115456,102,41.7,0.329839
2,11.5277448,39,7.3,0.216972
2,11.76603955,57,11.7,0.313888
1,9.306345185,112,21.4,0.246171
1,9.473760681,87,23.2,0.227844
2,12.5069016,82,0.7,0.552371
2,12.19305595,40,40.8,0.292071
1,11.16697249,88,9.1,0.534181
2,9.92349634,106,1.7,0.189106
2,11.69772879,58,15.9,0.30579
2,11.51163494,5,9.8,0.112417
2,10.46773505,18,34.4,0.09728
1,12.91283595,7,0,0.378005
2,10.36206093,44,4.5,0.143765
1,10.48102143,49,25.4,0.26632
2,13.85518488,26,28.5,0.49059
2,9.118732663,100,7.6,0.119412
2,12.28795563,21,5.3,0.223209
2,11.92039337,105,4.8,0.475663
1,9.784718348,5,23.2,0.0845
2,11.06290735,7,26.7,0.0975
1,9.816826228,55,24.9,0.205758
2,9.035319709,45,2.6,0.206189
1,13.54944864,20,15.3,0.658539
2,9.213571438,28,8.3,0.06795
2,13.627544,33,23.1,0.521648
1,10.39939496,38,7,0.221987
2,10.44580765,105,24.4,0.242397
1,13.88370952,36,3.9,1.011
2,12.76022767,121,29.7,0.727988
2,10.14129183,27,19.4,0.100659
1,11.80712531,92,43.3,0.73149
2,12.61839178,40,2,0.349596
1,11.55471245,51,29.5,0.445351
2,12.87287543,28,3.9,0.329869
1,13.3537637,53,5.3,1.00593
1,11.7042525,86,13.2,0.66794
2,12.06238921,16,17.5,0.182262
2,9.820633431,40,24.3,0.107863
2,9.396368178,66,2,0.118312
1,11.62357513,22,16.2,0.294446
2,11.71428869,20,32.3,0.171175
2,13.81180767,16,0.1,0.392081
1,13.90992427,2,0.1,0.523521
1,12.50124922,20,18.7,0.417254
2,11.48425011,19,10.8,0.151647
1,13.8769765,50,7.7,1.22019
1,9.126615219,10,21.9,0.067275
2,13.33466764,26,0.8,0.389271
1,13.53012622,23,3.9,0.690686
1,11.29663536,125,11.1,0.69183
1,11.60831672,19,1.7,0.275605
1,10.8590111,16,7,0.184646
1,10.33500519,79,22.5,0.337918
1,11.13860171,49,15.1,0.360834
2,9.341433504,71,21.3,0.120079
1,11.37240985,66,4.5,0.481885
2,10.4397203,66,28.7,0.193195
2,11.50055824,86,19.5,0.359519
1,12.73040449,2,16.5,0.307549
2,13.2689484,39,33.7,0.450735
1,12.3955401,125,14.6,1.1096
2,12.57664073,35,23.8,0.363992
2,10.57652623,34,9.3,0.13645
1,13.60172847,19,22.1,0.661336
2,12.77446661,60,4,0.502778
2,11.00835987,40,31.6,0.1777
2,11.65315898,16,0.4,0.153189
1,13.49366592,1,1.3,0.423105
2,9.249054319,54,18.4,0.0978
1,13.54293869,70,8.7,1.30428
1,10.68010873,33,21.6,0.234544
2,10.47525418,94,31.1,0.234086
1,12.4940292,62,7.7,0.760461
1,10.5509982,80,10.9,0.377782
1,10.03131997,106,25.8,0.354879
1,10.12458074,43,9.3,0.207972
2,10.1311087,107,16.7,0.20985
1,12.67131688,67,8.1,0.865279
2,13.37032694,10,22.6,0.282878
2,9.152763665,8,10.3,0.190601
1,10.72902882,54,8.7,0.316885
2,12.14390074,61,2.3,0.381856
1,13.62782262,12,12.2,0.581209
2,12.16018459,19,3.1,0.202892
2,12.31934935,62,13.5,0.421972
2,11.85585402,120,23.8,0.485387
1,11.46588179,31,11.4,0.32395
2,13.03397971,71,14.9,0.643805
2,9.977246659,78,6.4,0.172521
1,11.15305289,30,33,0.27684
2,12.78901924,50,17.7,0.458056
1,12.93216377,39,28.1,0.700305
2,11.4441873,69,18.1,0.310852
2,9.314380276,11,1,0.05035
1,12.84255552,117,0.1,1.307
2,13.2393957,54,11.6,0.570561
2,9.255081156,5,1.4,0.042333
2,13.03152693,84,2,0.707479
2,9.077053991,10,31.5,0.0438351
1,9.18792945,94,2.3,0.202614
1,12.32719038,57,22.7,0.669862
2,12.96801876,28,13.6,0.344442
1,9.381262233,115,3.1,0.262375
1,10.25023675,121,17.8,0.426402
1,10.33156138,87,39.7,0.360719
2,11.00989174,18,1.1,0.121503
2,11.14442527,115,4.8,0.34661
1,12.88896463,115,5.6,1.32229
2,11.72350275,83,4.1,0.390905
2,10.15956039,34,20.1,0.113345
1,10.16695796,61,8.3,0.26153
2,9.792036864,117,28.8,0.184001
2,11.38998411,71,2.2,0.309567
1,10.40534843,113,6.2,0.440219
2,13.21233265,123,3.5,0.894483
1,9.734203322,121,16.7,0.330801
1,11.86669355,114,0.5,0.846676
2,13.02302642,102,6.4,0.767964
2,11.86139987,94,16.4,0.439897
2,12.15591527,14,1.5,0.181751
2,9.466180361,73,14.7,0.130704
1,13.10104225,37,27.7,0.730744
1,13.80787463,63,17.3,1.36596
2,11.5316781,43,17,0.232282
2,12.0839621,8,19.2,0.153847
2,10.13666457,101,6.5,0.206125
1,11.28922028,124,9.8,0.687076
2,11.61000494,103,4.8,0.410676
2,11.60146909,46,23.7,0.250082
1,9.63961262,92,5.8,0.264346
2,9.646872373,67,3.8,0.135534
1,13.04325936,21,10,0.537957
2,11.2767934,47,4,0.22108
1,10.34141583,41,1.6,0.225004
2,10.76297863,115,42.5,0.2957115
1,11.32704102,24,15.7,0.267945
1,11.70757022,100,6.5,0.741525
1,10.87934723,107,10.4,0.530614
2,9.021064406,40,36.4,0.07373
2,13.47740345,38,18.3,0.476682
2,10.69164787,68,1.6,0.220539
2,10.12476806,37,1.2,0.117636
1,13.88113107,7,10.1,0.582261
1,12.98581036,48,6.6,0.80752
2,12.74907796,1,24.2,0.174177
2,9.891148606,30,26.5,0.094887
2,9.493622429,51,19.4,0.106881
2,12.98765644,4,12.3,0.207606
2,13.59615236,55,40.5,0.676685
2,13.59865381,118,11.8,1.04519
2,10.55238374,122,6.8,0.270172
2,9.191149779,27,26.3,0.06556
1,10.61100958,116,26.1,0.490889
1,9.894539116,60,24.2,0.223469
1,11.61271909,83,29.5,0.626586
1,12.7249009,96,3.4,1.12766
1,13.48398978,60,9,1.14867
2,12.14910866,63,27.3,0.395854
2,9.8555279,58,34.3,0.136204
2,9.140178653,51,17.5,0.0891
2,10.80014547,20,34.5,0.116236
2,12.29456304,35,11.5,0.316315
2,12.91787909,53,6.4,0.487625
2,13.75016451,9,0.5,0.32683
2,11.65364561,94,7.6,0.400378
1,13.29607619,109,7.5,1.54396
1,11.39480833,37,1.1,0.345344
1,10.89488311,49,21.5,0.322804
1,11.01035276,108,0.1,0.56545
2,9.446802081,77,6,0.132668
1,12.70872561,97,1.2,1.12717
1,9.615716595,64,25.1,0.203505
2,10.41003785,123,10.9,0.25376
1,11.32063449,124,12.9,0.616692
2,9.230133816,80,40.7,0.119289
2,9.44410511,50,6.1,0.106087
2,9.775048609,25,20.5,0.08296
1,11.14587071,93,25.9,0.550416
2,11.23096885,11,27.6,0.114596
1,10.14718144,47,13.1,0.221447
2,10.49077941,119,23.9,0.260232
2,11.77074011,31,3.4,0.219209
2,9.162597758,79,2.4,0.114675
1,12.88366372,37,5.8,0.665188
2,10.19205268,117,1.6,0.224467
2,9.414952308,64,0.6,0.116922
1,10.54586023,2,18.6,0.112811
2,12.66750261,94,0.6,0.632453
1,12.83510923,24,17.5,0.520406
1,13.3903466,91,2.4,1.45489
2,10.68295995,30,11.8,0.133872
1,9.726900018,23,36.5,0.123975
1,9.45762975,14,1.8,0.0893743
2,9.279066007,37,18.6,0.08164
1,10.3430822,36,4.4,0.209436
1,12.93889969,44,3.1,0.752542
1,9.591490684,79,2.5,0.231619
2,10.50520393,22,27.5,0.107312
2,10.52077684,121,6,0.26548
2,10.35880666,7,19.3,0.07275
2,11.21454058,76,6.4,0.300037
1,10.65935657,34,2.6,0.235885
1,12.42302987,45,7.1,0.608126
2,11.57720802,62,39.7,0.305108
2,11.5576516,77,2.5,0.351884
2,12.31131493,13,1.8,0.190628
1,13.42342056,49,11.3,0.989549
1,11.21420928,117,7.2,0.64512
1,9.421378416,25,32.3,0.10964
1,12.91546303,48,5.7,0.783729
1,13.59170835,43,2.1,0.98626
2,11.2464386,17,18.6,0.13215
2,12.62001575,8,11.8,0.194598
2,11.63253396,106,17.4,0.419438
2,9.318463586,81,3.1,0.125791
2,10.97609298,125,21.4,0.331551
2,10.62020268,97,1.6,0.254286
1,13.78750899,18,4.1,0.704312
2,12.7725058,14,22.3,0.237493
1,12.32661312,20,12,0.386381
1,11.3915446,27,16.9,0.292127
1,12.39012582,8,3.4,0.30649
2,12.92011333,1,23.9,0.18785
2,13.16329521,123,9.5,0.876461
2,12.8094493,22,1.1,0.28551
1,12.79497067,48,16.5,0.743181
1,11.68619319,47,20.7,0.450358
1,9.231403782,94,6.6,0.209323
1,9.690274529,79,6.7,0.244467
2,11.42561223,105,41.8,0.380687
1,13.42954537,38,4.8,0.857051
1,9.110951492,25,3.9,0.09154
1,13.2145987,60,10.3,1.02011
1,11.07934163,50,1.1,0.355391
1,12.64358618,24,12.4,0.479224
1,9.897243526,38,16.8,0.173668
1,11.4297864,85,19.6,0.587205
2,13.73622596,56,17.6,0.729679
2,11.04036617,21,33.1,0.131463
1,12.41277926,89,41.4,0.935151
1,11.80958699,22,26.3,0.319867
2,13.81477535,115,3.9,1.13952
1,11.26118129,11,18.2,0.198276
